TimeDetected,Imei,WindowStart,WindowEnd,ErrorCode
2019-06-21T12:10:12.884Z,354725067117014,2019-06-21T09:39:12.000Z,2019-06-21T09:39:12.000Z,5
2019-06-21T12:10:12.884Z,863833022097521,2019-06-21T09:44:24.000Z,2019-06-21T09:44:24.000Z,5
2019-06-21T12:10:12.884Z,863833021456579,2019-06-21T08:35:50.000Z,2019-06-21T08:35:50.000Z,5
2019-06-21T12:10:12.884Z,863833025335217,2019-06-13T13:14:32.000Z,2019-06-13T13:14:32.000Z,5
2019-06-21T12:10:12.884Z,354725064567500,2019-06-21T09:44:50.000Z,2019-06-21T09:44:50.000Z,5
2019-06-21T12:10:12.884Z,863833025441619,2019-06-16T09:22:30.000Z,2019-06-16T09:22:30.000Z,5
2019-06-21T12:10:12.884Z,863833025581646,2019-06-21T09:34:59.000Z,2019-06-21T09:34:59.000Z,5
2019-06-21T12:10:12.884Z,863833022163521,2019-06-21T09:36:53.000Z,2019-06-21T09:36:53.000Z,5
2019-06-21T12:10:12.884Z,863833023579824,2019-06-21T09:36:03.000Z,2019-06-21T09:36:03.000Z,5
2019-06-21T12:10:12.884Z,863833023579824,2019-06-21T09:50:46.000Z,2019-06-21T09:50:46.000Z,5
2019-06-21T12:10:12.884Z,863833025590332,2019-06-21T09:53:24.000Z,2019-06-21T09:53:24.000Z,5
2019-06-21T12:10:12.884Z,863833022163158,2019-06-21T08:41:43.000Z,2019-06-21T08:41:43.000Z,5
2019-06-21T12:10:12.884Z,863833024138273,2019-06-21T08:53:57.000Z,2019-06-21T08:53:57.000Z,5
2019-06-21T12:10:12.884Z,863833024181380,2019-06-21T09:51:54.000Z,2019-06-21T09:51:54.000Z,5
2019-06-21T12:10:12.884Z,863833022250567,2019-06-21T09:50:35.000Z,2019-06-21T09:50:35.000Z,5
2019-06-21T12:10:12.884Z,863833023665391,2019-06-21T09:53:43.000Z,2019-06-21T09:53:43.000Z,5
2019-06-21T12:10:12.884Z,863833020453767,2019-06-21T09:54:36.000Z,2019-06-21T09:54:36.000Z,5
2019-06-21T12:10:12.884Z,351631041959823,2019-06-21T09:37:10.000Z,2019-06-21T09:37:10.000Z,5
2019-06-21T12:10:12.884Z,354725064520962,2019-06-21T09:40:33.000Z,2019-06-21T09:40:33.000Z,5
2019-06-21T12:10:12.884Z,863833024121006,2019-06-21T09:35:14.000Z,2019-06-21T09:35:14.000Z,5
2019-06-21T12:10:12.884Z,863833021385364,2019-06-21T09:12:25.000Z,2019-06-21T09:12:25.000Z,5
2019-06-21T12:10:12.884Z,353322080388755,2019-06-21T09:10:32.000Z,2019-06-21T09:10:32.000Z,5
2019-06-21T12:10:12.884Z,863833021032370,2019-06-21T07:38:14.000Z,2019-06-21T07:38:14.000Z,5
2019-06-21T12:10:12.884Z,863833021385364,2019-06-21T09:37:26.000Z,2019-06-21T09:37:26.000Z,5
2019-06-21T12:10:12.884Z,863833023815939,2019-06-21T09:41:24.000Z,2019-06-21T09:41:24.000Z,5
2019-06-21T12:10:12.884Z,863833021457411,2019-06-21T09:25:35.000Z,2019-06-21T09:25:35.000Z,5
2019-06-21T12:10:12.884Z,353322080268551,2019-06-21T09:48:14.000Z,2019-06-21T09:48:14.000Z,5
2019-06-21T12:10:12.884Z,354725062760818,2019-06-21T09:37:09.000Z,2019-06-21T09:37:09.000Z,5
2019-06-21T12:10:12.884Z,863833024267080,2019-06-21T09:25:27.000Z,2019-06-21T09:25:27.000Z,5
2019-06-21T12:10:12.884Z,863833023514904,2019-06-21T09:21:02.000Z,2019-06-21T09:21:02.000Z,5
2019-06-21T12:10:12.884Z,354725062763689,2019-06-21T09:35:51.000Z,2019-06-21T09:35:51.000Z,5
2019-06-21T12:10:12.884Z,863833021315163,2019-06-21T09:32:54.000Z,2019-06-21T09:32:54.000Z,5
2019-06-21T12:10:20.511Z,353322081697279,2019-06-21T09:50:59.000Z,2019-06-21T09:50:59.000Z,5
2019-06-21T12:10:20.511Z,353322082468746,2019-06-21T09:55:35.000Z,2019-06-21T09:55:35.000Z,5
2019-06-21T12:10:20.511Z,863833024124463,2019-06-21T09:01:35.000Z,2019-06-21T09:01:35.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:41:19.000Z,2019-06-21T07:41:19.000Z,5
2019-06-21T12:10:20.511Z,354725064568318,2019-06-21T09:33:57.000Z,2019-06-21T09:33:57.000Z,5
2019-06-21T12:10:20.511Z,863833023723190,2019-06-21T09:15:50.000Z,2019-06-21T09:15:50.000Z,5
2019-06-21T12:10:20.511Z,863833026637959,2019-06-21T09:47:52.000Z,2019-06-21T09:47:52.000Z,5
2019-06-21T12:10:20.511Z,863833021331905,2019-06-21T09:34:18.000Z,2019-06-21T09:34:18.000Z,5
2019-06-21T12:10:20.511Z,863833020928313,2019-06-21T09:56:43.000Z,2019-06-21T09:56:43.000Z,5
2019-06-21T12:10:20.511Z,863833025379066,2019-06-21T09:37:13.000Z,2019-06-21T09:37:13.000Z,5
2019-06-21T12:10:20.511Z,863833025403478,2019-06-21T09:15:51.000Z,2019-06-21T09:15:51.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:32:27.000Z,2019-06-21T07:32:27.000Z,5
2019-06-21T12:10:20.511Z,863833022140420,2019-06-21T09:39:56.000Z,2019-06-21T09:39:56.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:32:08.000Z,2019-06-21T07:32:08.000Z,5
2019-06-21T12:10:20.511Z,863833023377005,2019-06-21T09:33:02.000Z,2019-06-21T09:33:02.000Z,5
2019-06-21T12:10:20.511Z,863833025583311,2019-06-21T09:25:43.000Z,2019-06-21T09:25:43.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:41:55.000Z,2019-06-21T07:41:55.000Z,5
2019-06-21T12:10:20.511Z,353322080473102,2019-06-21T09:37:24.000Z,2019-06-21T09:37:24.000Z,5
2019-06-21T12:10:20.511Z,863833021385364,2019-06-21T09:50:39.000Z,2019-06-21T09:50:39.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:36:46.000Z,2019-06-21T07:36:46.000Z,5
2019-06-21T12:10:20.511Z,863833021397385,2019-06-21T09:44:24.000Z,2019-06-21T09:44:24.000Z,5
2019-06-21T12:10:20.511Z,863833027935261,2019-06-21T09:09:49.000Z,2019-06-21T09:09:49.000Z,5
2019-06-21T12:10:20.511Z,863833025615378,2019-06-21T09:33:56.000Z,2019-06-21T09:33:56.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:40:27.000Z,2019-06-21T07:40:27.000Z,5
2019-06-21T12:10:20.511Z,863833023377005,2019-06-21T09:44:02.000Z,2019-06-21T09:44:02.000Z,5
2019-06-21T12:10:20.511Z,863833027935261,2019-06-21T09:09:48.000Z,2019-06-21T09:09:48.000Z,5
2019-06-21T12:10:20.511Z,863833023549835,2019-06-21T09:35:04.000Z,2019-06-21T09:35:04.000Z,5
2019-06-21T12:10:20.511Z,863833022060446,2019-06-21T09:25:32.000Z,2019-06-21T09:25:32.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:33:05.000Z,2019-06-21T07:33:05.000Z,5
2019-06-21T12:10:20.511Z,863833027788660,2019-06-21T09:36:27.000Z,2019-06-21T09:36:27.000Z,5
2019-06-21T12:10:20.511Z,863833025612789,2019-06-21T09:33:14.000Z,2019-06-21T09:33:14.000Z,5
2019-06-21T12:10:20.511Z,863833021454699,2019-06-21T09:44:31.000Z,2019-06-21T09:44:31.000Z,5
2019-06-21T12:10:20.511Z,863833027935261,2019-06-21T09:10:38.000Z,2019-06-21T09:10:38.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:35:02.000Z,2019-06-21T07:35:02.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:33:52.000Z,2019-06-21T07:33:52.000Z,5
2019-06-21T12:10:20.511Z,863833025581760,2019-06-21T09:51:36.000Z,2019-06-21T09:51:36.000Z,5
2019-06-21T12:10:20.511Z,863833021331905,2019-06-21T09:34:16.000Z,2019-06-21T09:34:16.000Z,5
2019-06-21T12:10:20.511Z,863833021032370,2019-06-21T07:34:29.000Z,2019-06-21T07:34:29.000Z,5
2019-06-21T12:10:20.511Z,863833027935261,2019-06-21T09:10:01.000Z,2019-06-21T09:10:01.000Z,5
